title	description	source	date	open_coding_topic	sentiment	sentimental_words
Mark Carney’s comment about not talking to Donald Trump criticized and defended	Conservative Leader Pierre Poilievre criticizes Prime Minister Mark Carney over comments made at the G20 summit that there were no burning iss…	thestar.com	2025-11-24T16:57:00-05:00Z	Public Relations	Negative	" ""Criticizes"""
Prime Minister Mark Carney makes hilarious joke about McDavid's contract	Canadian Prime Minister Mark Carney addressed some of the country’s most pressing issues in Edmonton, including Connor McDavid’s contract status.	dailyhive.com	2025-09-10T12:00:00-05:00Z	Public Relations	Positive	Hilarious Joke
Prime Minister Mark Carney makes stop at beloved Vancouver bakery	Just after he visited the “iconic” White Rock pier, Prime Minister Mark Carney stopped by for a bite at the beloved New Town Bakery in Vancouver.	dailyhive.com	2025-11-17T12:00:00-05:00	Public Relations	Positive	he visited the “iconic” White Rock pier, Carney stopped by for a bite at the beloved New Town Bakery
Prime Minister Mark Carney greets locals at 'iconic' White Rock Pier	Prime Minister Mark Carney was in Metro Vancouver recently, greeting folks at an iconic pier. A post was shared on Carney’s social media pages, showing the Prime Minister at the White Rock Pier.	dailyhive.com	2025-11-13T12:00:00-05:00	Public Relations	Positive	greeting folks at an iconic pier
Carney says ‘who cares’ comment on Trump talks was ‘poor choice of words’ - National	Conservative Leader Pierre Poilievre hammered the prime minister over his comment during question period in the House of Commons Tuesday.	globalnews.ca	2025-11-25T21:50:11.000000Z	Public Relations	Negative	Hammered
Prime Minister Mark Carney faces mixed reaction during Grey Cup coin toss	Prime Minister Mark Carney kicked off the 112th Grey Cup in Winnipeg with the coin toss, drawing mixed reactions from fans amid pre-game performances and tailga...	globalnews.ca	2025-11-17T01:12:38.000000Z	Public Relations	Negative	drawing mixed reactions from fans
Mark Carney attends launch of new branch of Montreal-area light rail network	Prime Minister Mark Carney is among the dignitaries attending the launch of the northwest expansion of a light rail project in the Montreal area.	globalnews.ca	2025-11-14T17:01:49.000000Z	Public Relations	Neutral	
Prime Minister Mark Carney met with cheers and boos at 112th Grey Cup game	WINNIPEG — Prime Minister Mark Carney was on hand in Winnipeg for the 112th Grey Cup game between the Saskatchewan ...	cp24.com	2025-11-16T19:04:41.000000Z	Public Relations	Negative	Cheers and Boos
Carney visits Riderville ahead of 2025 Grey Cup	On the eve of the most important game in Canadian football, fans across the country are surely wishing they could ...	cp24.com	2025-11-16T19:04:41.000000Z	Public Relations	Neutral	
CTV National News: PM Carney promotes Canadian investment at G20 amid U.S. boycott		ctvnews.ca	2025-11-22T12:00:00-05:00	Public Relations	Positive	Investment
Carney honours Riel at Winnipeg ceremony		ctvnews.ca	2025-11-17T12:00:00-05:00Z	Public Relations	Neutral	
PM Carney in Manitoba, fans celebrate the Grey Cup: CTV Your Morning Winnipeg News		ctvnews.ca	2025-11-17T12:00:00-05:00	Public Relations	Neutral	
PM Carney booed during coin toss at 2025 Grey Cup in Winnipeg		ctvnews.ca	2025-11-17T12:00:00-05:00	Public Relations	Negative	booed
Prime Minister Mark Carney met with cheers and boos at 112th Grey Cup game	WINNIPEG — Prime Minister Mark Carney was on hand in Winnipeg for the 112th Grey ...	ctvnews.ca	2025-11-16T12:00:00-05:00	Public Relations	Negative	met with cheers and boos
Prime Minister Mark Carney in Winnipeg		ctvnews.ca	2025-11-16T12:00:00-05:00	Public Relations	Neutral	
Carney visits Riderville ahead of 2025 Grey Cup	On the eve of the most important game in Canadian football,fans across the country ...	ctvnews.ca	2025-11-16T12:00:00-05:00	Public Relations	Neutral	
Carney visits Grey Cup festival in Winnipeg		ctvnews.ca	2025-11-16T12:00:00-05:00	Public Relations	Neutral	
Carney in Winnipeg on Grey Cup weekend		ctvnews.ca	2025-11-14T12:00:00-05:00	Public Relations	Neutral	
Mark Carney attends launch of new branch of Montreal-area light rail network	The northwest branch of a light rail project in the Montreal area was officially inaugurated ...	ctvnews.ca	2025-11-14T12:00:00-05:00	Public Relations	Positive	inaugurated
Carney inaugurates the new REM line in Montreal		ctvnews.ca	2025-11-14T12:00:00-05:00	Public Relations	Positive	inaugurates
Prime minister says Louis Riel's legacy 'helps to unite' Canada at event marking Métis leader's execution	Prime Minister Mark Carney laid a wreath at the grave of Louis Riel to mark the 140th anniversary of the Red River Métis leader's execution at a ceremony in Wi...	cbc.ca	2025-11-16T20:16:14.000000Z	Public Relations	Neutral	
Prime Minister Mark Carney takes in K-W Oktoberfest	Prime Minister Mark Carney made a stop in Breslau on Friday to tap a keg during the last weekend of Kitchener-Waterloo Oktoberfest events.	cbc.ca	2025-10-17T21:35:09.000000Z	Public Relations	Neutral	
Carney speaks far less French than English in speeches, analysis shows	A comprehensive analysis by Radio-Canada reveals that less than one-fifth of the content of the prime minister's speeches since he was elected has been in Frenc...	cbc.ca	2025-10-09T09:00:00.000000Z	Public Relations	Negative	Carney speaks far less French than English
Carney honours Ken Dryden,'a national hero and a personal idol'	Prime Minister Mark Carney paid tribute to Ken Dryden in the House of Commons on Wednesday. Dryden,a six-time Stanley Cup-winning goalie with the Montreal Cana...	cbc.ca	2025-09-17T20:32:55.000000Z	Public Relations	Neutral	
