title	description	source	date	open_coding_topic	sentiment	sentimental_words
Kelly McParland: Carney buries Trudeau's 'feminist foreign policy'	But a lot of the old prime minister's legacy persists	nationalpost.com	2025-11-24T17:39:13.000000Z	National	Negative	Carney buries Trudeau's 'feminist foreign policy'
Letters: Come on Carney, don't be coy about pipelines	Readers have their say on the potential new pipeline to northwest B.C., billionaire 'benefactors,' Canadians' short memories, and more	nationalpost.com	2025-11-23T10:30:12.000000Z	National	Negative	Don't be coy
Tom Flanagan: Louis Riel's leadership was ruinous for the Métis	And yet, Prime Minister Mark Carney celebrates him	nationalpost.com	2025-11-18T18:38:43.000000Z	National	Negative	ruinous, And yet Prime Minister Mark Carney celebrates him
Richard Ciano: Mr. Carney, investors don't see 'rule of law' in Canada — they see chaos	The PM claims the U.S. is unpredictable, yet Canada's greatest infrastructure challenge remains its own internal borders	nationalpost.com	2025-11-17T16:41:20.000000Z	National	Negative	Mr. Carney, investors don't see 'rule of law' in Canada — they see chaos
'Right now, I’m a no,' Green Party leader Elizabeth May says ahead of budget vote	Prime Minister Mark Carney needs two votes to support the budget or four opposition members to abstain in order to avoid another election.	nationalpost.com	2025-11-25T13:30:44-05:00	National	Neutral	
Manitoba Premier Kinew asks PM Carney for sentencing, parole overhaul	WINNIPEG - Manitoba Premier Wab Kinew has asked the prime minister for stiffer sentences for repeat or serial killers, citing the recent relea…	thestar.com	2025-11-25T13:30:44-05:00	National	Neutral	
Mark Carney says hurdles remain as tensions rise over pipeline deal for Alberta	"The prime minister said a memorandum of understanding with Alberta will set out ""necessary conditions"" for any federal greenlight to a new oil"	thestar.com	2025-11-25T13:30:44-05:00	National	Neutral	
Newfoundland is ‘back in the oil business,’ new premier vows ahead of Carney meeting	ST. JOHN'S - Newfoundland and Labrador's new premier vowed on Tuesday to pump new life into the province's offshore oil industry, saying previ…	thestar.com	2025-11-25T13:30:44-05:00	National	Neutral	
Carney says B.C. ‘has to agree’ on pipeline plan from Alberta	The legislation prohibits tankers from carrying more than 12,500 metric tons of crude oil in areas along the Northern coast of British Columbia.	thestar.com	2025-11-25T04:00:00-05:00	National	Neutral	
David Eby says it is ‘unacceptable’ for Alberta,Saskatchewan to talk pipelines without B.C. input	British Columbia Premier David Eby says he told Prime Minister Mark Carney that B.C. expects to be a full partner on plans for a pipeline as O…	thestar.com	2025-11-24T20:54:00-05:00	National	Negative	unacceptable
MPs weigh in on Mark Carney’s comments on Canada’s feminist foreign policy	Liberal MP Karina Gould and NDP MP Leah Gazan respond to Prime Minister Mark Carney's comment that Canada no longer has a feminist foreign pol…	thestar.com	2025-11-24T17:16:00-05:00	National	Neutral	
Premier Eby tells Carney it’s unacceptable B.C. has been cut out of pipeline talks	Eby said he expects Ottawa to include B.C. and Coastal First Nations as full participants in any future talks.	thestar.com	2025-11-24T17:12:00-05:00	National	Negative	unacceptable
Spending watchdog flags change of ‘fiscal anchors’ in Carney government budget	Parliament's interim budget officer says the federal government abruptly “abandoned” a longstanding fiscal anchor in its Nov. 4 budget.	thestar.com	2025-11-24T15:30:00-05:00	National	Negative	abruptly “abandoned”
