title	description	source	date	open_coding_topic	sentiment	sentimental_words
Canadian PM makes veiled dig at Trump during film festival, warns not to push 'too far'	Canadian Prime Minister Mark Carney implicitly criticized President Donald Trump at the Toronto International Film Festival, using references to comedian John C...	foxnews.com	2025-09-05T22:30:46.000000Z	International	Negative	makes veiled dig, Carney implicitly criticized President Donald Trump
Canada plans to recognize Palestinian state in September, PM Carney says	Canadian Prime Minister Mark Carney said the country plans to recognize a Palestinian state in September during a meeting of the United Nations.	foxnews.com	2025-07-31T03:54:25.000000Z	International	Neutral	
Carney cuts short questions to Trump ahead of G7 summit	President Donald Trump claims at G7 summit that Russia's removal from G8 was a mistake that led to war, discusses tariffs with Canada and potential Iran de-esca...	foxnews.com	2025-06-16T18:05:49.000000Z	International	Neutral	
Senators go to Canada to meet PM Carney,smooth Trump tariff,51st-state tensions	Bipartisan senators,led by Kevin Cramer and Jeanne Shaheen,visit Canada to ease U.S.-Canada tensions amid trade disputes and diplomatic challenges.	foxnews.com	2025-05-28T21:57:22.000000Z	International	Neutral	
Trump targets northern border security as Canada's 'open border' policies create new threats	Canada's open-border policies pose risks to US security, with drug smuggling and criminal activities increasing along the northern border under PM Mark Carney.	foxnews.com	2025-05-16T09:00:08.000000Z	International	Negative	drug smuggling and criminal activities increasing along the northern border under PM Mark Carney
How Canada’s new prime minister plans to take down America and impose the Great Reset	Canada's new Prime Minister Mark Carney led two G7 central banks, was a trustee of the World Economic Forum and wants ESG rules and digital currency to reset gl...	foxnews.com	2025-05-07T09:00:38.000000Z	International	Negative	plans to take down America and impose the Great Reset
Trump teases 'very, very big announcement' ahead of Middle East trip, Carney says he's 'on edge of my seat'	"President Donald Trump said his administration will soon make ""one of the most important announcements that have been made"" before his trip to the Middle East"	foxnews.com	2025-05-06T16:35:01.000000Z	International	Neutral	
Trump holds 'extremely productive call' with Canadian prime minister: 'We agree on many things'	"President Donald Trump said he held an ""extremely productive call"" with Canadian Prime Minister Mark Carney on Friday."	foxnews.com	2025-03-28T16:08:46.000000Z	International	Positive	We agree on many things,extremely productive call
Canada’s new PM and Trump critic Mark Carney accused of being out of touch with the 'common man’	Carney is a former Goldman Sachs banker and UN special envoy for climate action and finance	foxnews.com	2025-03-15T9:51:44.000000Z	International	Negative	critic Mark Carney accused of being out of touch with the 'common man’
Carney says Canada is not for sale, Trump replies, 'Never say never'	Trump has repeatedly discussed Canada becoming another US state, along with sharing plans to acquire Greenland and the Panama Canal	foxnews.com	2025-05-06T12:48:44.000000Z	International	Negative	Never say never:
Canadian Prime Minister Mark Carney says 'old relationship' with US 'is over' amid tension over Trump tariffs	Canadian leader's remarks come amid tension with Trump administration over new tariffs	foxnews.com	2025-03-09T19:19:44.000000Z	International	Neutral	
New Canadian PM blasts Trump's 51st state idea: 'Crazy'	Canadian Prime Minister Mark Carney was sworn into office on Friday and faces an escalating trade war with the US	foxnews.com	2025-03-14T17:28:44.000000Z	International	Neutral	
Trump's 16th week in office to include WH meeting with Canada, ongoing trade negotiations	President Donald Trump's 16th week back in the Oval Office is expected to include a visit from Canadian PM Carney, trade talks and ongoing negotiations to end the war in Ukraine.	foxnews.com	2025-05-04T17:28:44.000000Z	International	Neutral	
John Ivison: Carney’s ‘commerce-first’ foreign policy spares no care for atrocities	The Carney government cannot follow its conscience on Sudan because that would take it in a different direction from its trade policy.	nationalpost.com	2025-11-25T22:41:30.000000Z	International	Negative	spares no care for atrocities, cannot follow its conscience
