title,description,source,date
Canadian PM Carney challenges Trump to bet on Dodgers vs Blue Jays World Series: 'He's afraid',"Canadian Prime Minister Mark Carney challenged President Donald Trump to a World Series bet, predicting Toronto Blue Jays will beat Los Angeles Dodgers in six g...",foxnews.com,2025-10-24T00:00:23.000000Z
"Canadian PM makes veiled dig at Trump during film festival, warns not to push 'too far'","Canadian Prime Minister Mark Carney implicitly criticized President Donald Trump at the Toronto International Film Festival, using references to comedian John C...",foxnews.com,2025-09-05T22:30:46.000000Z
"Canada plans to recognize Palestinian state in September, PM Carney says",Canadian Prime Minister Mark Carney said the country plans to recognize a Palestinian state in September during a meeting of the United Nations.,foxnews.com,2025-07-31T03:54:25.000000Z
Carney cuts short questions to Trump ahead of G7 summit,"President Donald Trump claims at G7 summit that Russia's removal from G8 was a mistake that led to war, discusses tariffs with Canada and potential Iran de-esca...",foxnews.com,2025-06-16T18:05:49.000000Z
"Senators go to Canada to meet PM Carney, smooth Trump tariff, 51st-state tensions","Bipartisan senators, led by Kevin Cramer and Jeanne Shaheen, visit Canada to ease U.S.-Canada tensions amid trade disputes and diplomatic challenges.",foxnews.com,2025-05-28T21:57:22.000000Z
Trump targets northern border security as Canada's 'open border' policies create new threats,"Canada's open-border policies pose risks to US security, with drug smuggling and criminal activities increasing along the northern border under PM Mark Carney.",foxnews.com,2025-05-16T09:00:08.000000Z
How Canada’s new prime minister plans to take down America and impose the Great Reset,"Canada's new Prime Minister Mark Carney led two G7 central banks, was a trustee of the World Economic Forum and wants ESG rules and digital currency to reset gl...",foxnews.com,2025-05-07T09:00:38.000000Z
"Trump teases 'very, very big announcement' ahead of Middle East trip, Carney says he's 'on edge of my seat'","President Donald Trump said his administration will soon make ""one of the most important announcements that have been made"" before his trip to the Middle East",foxnews.com,2025-05-06T16:35:01.000000Z
"With federal election looming, Liberal Canadian PM accused of plagiarism while studying at Oxford: report",Prime Minister Mark Carney is embroiled in controversy after a Canadian news outlet discovered at least 10 instances of possible plagiarism in his 1995 Oxford t...,foxnews.com,2025-03-30T02:42:49.000000Z
Trump holds 'extremely productive call' with Canadian prime minister: 'We agree on many things',"President Donald Trump said he held an ""extremely productive call"" with Canadian Prime Minister Mark Carney on Friday.",foxnews.com,2025-03-28T16:08:46.000000Z
Mark Carney wins Liberal Party nomination to replace Trudeau as Canada's next PM,The Liberal Party's new leader Mark Carney is expected to call a general election for late April or early May where he will go up against Conservative leader Pi...,foxnews.com,2025-03-09T23:00:40.000000Z
Trump critic Mark Carney poised to replace Trudeau as Canada's prime minister,Strong support from Liberal parliamentarians and a strong showing in the polls have made Mark Carney the frontrunner in Canada's Liberal leadership race.,foxnews.com,2025-03-09T15:39:44.000000Z
Canada’s new PM and Trump critic Mark Carney accused of being out of touch with the 'common man’,Carney is a former Goldman Sachs banker and UN special envoy for climate action and finance,foxnews.com,2025-03-15T9:51:44.000000Z
"Carney says Canada is not for sale, Trump replies, 'Never say never'","Trump has repeatedly discussed Canada becoming another US state, along with sharing plans to acquire Greenland and the Panama Canal",foxnews.com,2025-05-06T12:48:44.000000Z
Canadian PM Carney to meet Trump at White House after election influenced by annexation threats,"Conservative leader Pierre Poilievre shares blame with President Donald Trump for Liberals winning Canadian election, say analysts",foxnews.com,2025-03-09T6:15:44.000000Z
Canadian Prime Minister Mark Carney says 'old relationship' with US 'is over' amid tension over Trump tariffs,Canadian leader's remarks come amid tension with Trump administration over new tariffs,foxnews.com,2025-03-09T19:19:44.000000Z
New Canadian PM blasts Trump's 51st state idea: 'Crazy',Canadian Prime Minister Mark Carney was sworn into office on Friday and faces an escalating trade war with the US,foxnews.com,2025-03-14T17:28:44.000000Z
"Trump's 16th week in office to include WH meeting with Canada, ongoing trade negotiations", "President Donald Trump's 16th week back in the Oval Office is expected to include a visit from Canadian PM Carney, trade talks and ongoing negotiations to end the war in Ukraine.",foxnews.com,2025-05-04T17:28:44.000000Z
