title	description	source	date	open_coding_topic	sentiment	sentimental_words
Mark Carney wins Liberal Party nomination to replace Trudeau as Canada's next PM	The Liberal Party's new leader Mark Carney is expected to call a general election for late April or early May where he will go up against Conservative leader Pi...	foxnews.com	2025-03-09T23:00:40.000000Z	Election	Positive	wins,nomination
Trump critic Mark Carney poised to replace Trudeau as Canada's prime minister	Strong support from Liberal parliamentarians and a strong showing in the polls have made Mark Carney the frontrunner in Canada's Liberal leadership race.	foxnews.com	2025-03-09T15:39:44.000000Z	Election	Positive	strong showing
Canadian PM Carney to meet Trump at White House after election influenced by annexation threats	Conservative leader Pierre Poilievre shares blame with President Donald Trump for Liberals winning Canadian election,say analysts	foxnews.com	2025-03-09T6:15:44.000000Z	Election	Neutral	
Carney eyes Canadian economic opportunities in the U.A.E.	Mark Carney is hitting the world stage again while Pierre Poilievre's numbers appear to be declining. Cynthia Mulligan discusses what's next for each leader Marion Nader, Jeff Rutledge and Celina Caesar-Chavannnes.	citynews.ca	2025-11-19T14:36:00-05:00	Election	Positive	Carney is hitting the world stage again while Pierre Poilievre's numbers appear to be declining
Poilievre blasts Carney over budget deficit, spending in free-market speech - National	Poilievre delivered his address to a business crowd at the Economic Club of Canada, a few blocks away from the Canadian Club Toronto — where Carney was promot...	globalnews.ca	2025-11-08T00:01:41.000000Z	Election	Negative	Poilievre blasts Carney
A New Trend in Global Elections: The Anti-Trump Bump	In voting in Canada and Australia, right-wing parties that borrowed from the MAGA playbook were punished. Elsewhere, President Trump is having a more complex impact.	nytimes.com	2025-05-04T23:34:52Z	Election	Neutral	
Mark Carney Swept Canada, but There Will Be No Honeymoon	The Canadian prime minister achieved a stunning political upset, running on an anti-Trump platform and promising to revive the economy. Now, he needs to deliver.	nytimes.com	2025-04-30T00:38:33Z	Election	Negative	Now, he needs to deliver, stunning political upset
Canada’s Liberals Narrowly Miss Out on Majority in Parliament	Final results from Monday’s crucial election showed Mark Carney’s party had secured 169 of 343 seats and would need help from other parties to pass laws.	nytimes.com	2025-04-29T21:42:31Z	Election	Negative	Narrowly Miss Out on Majority
Mark Carney’s Liberals Win Canada’s Election. Here Are 4 Takeaways.	The former central banker successfully convinced voters that he was the right candidate to confront President Trump’s trade war and threats to annex the country.	nytimes.com	2025-04-29T09:21:05Z	Election	Positive	Wins
Mark Carney Wins New Term as Canada’s Prime Minister on Anti-Trump Platform	The election was dominated by Mr. Trump and his relentless focus on Canada. Pierre Poilievre, the opposition leader, lost the seat he had held for 20 years.	nytimes.com	2025-04-29T02:11:48Z	Election	Positive	Carney Wins New Term
How Trump, Trudeau and Tariffs Upended Canada’s Political Landscape	After nearly a decade in power, the Liberal Party seemed destined to be swept out on a wave of anti-incumbency sentiment. Then events took a surprising turn.	nytimes.com	2025-04-28T14:30:07Z	Election	Positive	events took a surprising turn
Canada Votes, With an Eye on Trump’s Trade Policies	The two leading candidates, Pierre Poilievre and Mark Carney, both plan to fight the U.S., its largest trading partner, over tariffs. But who would be more successful as relations grow icy?	nytimes.com	2025-04-28T11:53:22Z	Election	Neutral	
Canada Votes	We explain what’s at stake in today’s election.	nytimes.com	2025-04-28T10:50:09Z	Election	Neutral	
Canada Votes: What’s at Stake?	Many Canadians believe Monday’s election is the most important of their lifetime. It will determine who will take on a stagnant economy and deal with President Trump.	nytimes.com	2025-04-28T09:02:04Z	Election	Neutral	
China Experience Was Once a Plus. In Canada’s Election, It’s a Liability.	Mark Carney, who is running to win a full term as prime minister, has years of experience dealing with Chinese businesses and leadership. It’s become fodder for his opponents.	nytimes.com	2025-04-27T09:01:40Z	Election	Negative	It’s a Liability, fodder for his opponents
Canada’s Extraordinary Yet Uneventful Election Draws to a Close	President Trump’s tariffs and annexation ambitions continue to loom over all other issues in a race without any moments of campaign drama.	nytimes.com	2025-04-26T09:03:19Z	Election	Neutral	
Climate Change, Once a Big Issue, Fades From Canada’s Election	Even though Liberal candidate Mark Carney has a lengthy climate policy résumé, Trump’s threats have nearly drowned the issue out of the campaign.	nytimes.com	2025-04-26T09:03:18Z	Election	Neutral	
Polls Tighten in Homestretch of Canada’s Election	Prime Minister Mark Carney’s Liberal Party still appears poised to win, pollsters say, even as its lead over the Conservative Party has shrunk.	nytimes.com	2025-04-26T09:02:11Z	Election	Positive	poised to win
Canada’s Anti-Trump Finds His Moment	Mark Carney, the new prime minister seeking a full term in Monday’s election, has built his campaign around President Trump’s threats to the country.	nytimes.com	2025-04-26T09:01:22Z	Election	Neutral	
Why Greater Toronto Could Decide Who Wins Canada’s Election	The Conservatives had enjoyed a lead over Liberals in the region largely because of rising housing and food costs. But President Trump’s tariffs have shifted the equation.	nytimes.com	2025-04-24T09:02:00Z	Election	Neutral	
Despite His Shaky French, Canada’s Prime Minister Is a Hit in Quebec	Voters are overlooking Mark Carney’s linguistic gaffes and lack of knowledge about the French-speaking province, viewing him as the most capable candidate to deal with President Trump.	nytimes.com	2025-04-19T09:01:30Z	Election	Positive	most capable candidate
Who Will Be Canada’s Next Prime Minister?	The April 28 election will come down to two candidates with starkly different personalities and experience: Mark Carney and Pierre Poilievre.	nytimes.com	2025-04-19T09:01:26Z	Election	Neutral	
5 Takeaways From Canada’s Election Debate	Prime Minister Mark Carney was repeatedly the target of his opponents. President Trump’s threats on Canada loomed over the debate.	nytimes.com	2025-04-18T04:16:34Z	Election	Neutral	
Paper Ballots, Hand Counting, No Machines: This Is How Canada’s Election Works	Canada’s federal election is on Monday. Here are the details.	nytimes.com	2025-04-17T16:35:14Z	Election	Neutral	
Canada Reschedules Political Debate That Conflicted With a Hockey Game	A big game, but still.	nytimes.com	2025-04-16T09:40:05Z	Election	Neutral	
Trump Tariffs Muddle Campaigning for Canada’s Conservatives	Pierre Poilievre’s 25-point lead in the polls evaporated, and he struggled to switch voters’ focus to the economy, crime and other issues.	nytimes.com	2025-04-12T10:00:07Z	Election	Neutral	
Outside His Political Base,a Canadian’s Trumpian Pitch Is a Harder Sell	Pierre Poilievre,the Conservative seeking to become prime minister,fires up the faithful in Alberta,including Trump supporters,with his anti-elitist,anti-woke message.	nytimes.com	2025-04-10T09:03:01Z	Election	Neutral	
Trump,Tariffs,a New Leader: Canada’s Liberals Enjoy Early Election Lift	The Liberal Party,which not long ago seemed destined to crash in federal elections under Justin Trudeau,is experiencing a reversal of fortune. Here’s what a close review of polls shows.	nytimes.com	2025-04-06T09:01:02Z	Election	Neutral	
The Canadian Political Brawler Who Had a 25-Point Lead and a Problem: Trump	Just two months ago, Pierre Poilievre seemed destined to become Canada’s next prime minister. But his double-digit polling lead vanished with President Trump’s threat to annex Canada.	nytimes.com	2025-04-06T09:00:56Z	Election	Neutral	
Trump and Tariffs Enter the Scene Only Days Into Canada’s Election Campaign	Without advance notice to Canada,the U.S. president put the auto industry into turmoil with a 25 percent tariff.	nytimes.com	2025-03-29T10:00:08Z	Election	Neutral	
Canada’s Leader Calls Snap Federal Elections Amid Trump Threats	Mark Carney, who has only been prime minister for 10 days, has called for a general election to be held on April 28.	nytimes.com	2025-03-23T16:37:39Z	Election	Neutral	
